feature_set,n_features,task,model,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,train_time_s
DE+Connectivity,185,arousal,XGBoost,0.7636190476190476,0.028781885820306156,0.43824021689922077,0.006890197456986034,0.4968602502001456,0.05033720728457033,5.670304870605468
DE+Connectivity,185,dominance,LogisticRegression,0.5585079365079365,0.07348860618731994,0.49952111238485175,0.07466692906054093,0.5636478343811504,0.07444220807550511,0.3588542461395264
DE+Connectivity,185,dominance,RandomForest,0.5750317460317461,0.05844155278534881,0.4490683881629436,0.06246522157029181,0.5056907623927543,0.035834419393246296,11.375962257385254
DE+Connectivity,185,dominance,XGBoost,0.5710952380952381,0.05509537728691495,0.4729470173421606,0.05517960231088702,0.5307014247672981,0.026928000759874258,5.990281438827514
DE+Connectivity,185,liking,LogisticRegression,0.5519126984126984,0.0689613719692779,0.4572114600256504,0.03156528313570506,0.43534514188185647,0.024025138406443654,0.3369136810302734
DE+Connectivity,185,liking,RandomForest,0.6427380952380952,0.018637279805236436,0.456335017546526,0.05799306711971189,0.5275999759245851,0.033564360646233186,11.899426364898682
DE+Connectivity,185,liking,XGBoost,0.619515873015873,0.026405359461943296,0.4551055025931857,0.04288288842237308,0.49667064349685985,0.02145131916605823,5.951092195510864
DE+Hjorth+FAA,238,valence,LogisticRegression,0.6066507936507937,0.08302483809220489,0.4493967010729424,0.01895370653256454,0.4357065233348008,0.023833089917084084,0.8173465251922607
DE+Hjorth+FAA,238,valence,RandomForest,0.7754761904761904,0.07528627546986547,0.4452973891648277,0.014426205790578276,0.49776355912691816,0.07229656923878047,14.523351573944092
DE+Hjorth+FAA,238,valence,XGBoost,0.746579365079365,0.07806641050723094,0.4588773364955358,0.03811216318454609,0.46881736691988724,0.05825492893477655,7.830286169052124
DE+Hjorth+FAA,238,arousal,LogisticRegression,0.6733730158730159,0.0577440404946521,0.4818157967898572,0.027957233933470372,0.44820932764059085,0.09206643356293669,0.8904050350189209
