task,subject,n_calib_windows,n_eval_windows,zeroshot_accuracy,zeroshot_f1,zeroshot_auc,calibrated_accuracy,calibrated_f1,calibrated_auc,calibration_skipped_single_class
liking,23,120,480,0.5708333333333333,0.37219047619047624,0.4102204228520018,0.4979166666666667,0.49218389896355996,0.45901934322986954,False
liking,24,120,480,0.53125,0.3469387755102041,0.5671808278867103,0.51875,0.5128102605111802,0.5253681917211329,False
liking,25,120,480,0.5770833333333333,0.5383718891978833,0.5206666666666667,0.5583333333333333,0.5319313352100237,0.5386851851851853,False
liking,26,120,480,0.7125,0.4876079086605402,0.5182476190476191,0.7270833333333333,0.546290884689482,0.5962412698412698,False
liking,27,120,480,0.8729166666666667,0.496691018478728,0.5872619047619048,0.6708333333333333,0.4551567573780856,0.4402777777777778,False
liking,28,120,480,0.6541666666666667,0.40115440115440115,0.4329389129389129,0.46458333333333335,0.46374310443011835,0.5163251563251563,False
liking,29,120,480,0.5833333333333334,0.3904761904761904,0.450868196131354,0.4875,0.46424682395644284,0.45471884840305893,False
liking,30,120,480,0.5833333333333334,0.39461204722026033,0.429131803868646,0.4395833333333333,0.4321275426058274,0.48223121907332434,False
liking,31,120,480,0.61875,0.45159981270485405,0.41696969696969693,0.6958333333333333,0.5389473684210526,0.5777171717171717,False
liking,32,120,480,0.49375,0.3376904338740908,0.5010763888888888,0.55,0.548235294117647,0.5653993055555555,False
